t,susceptible,infectious,recovering
121,32979.16092874432,5322.007273402963,61698.83179785263
122,32750.23374765076,5163.125212824088,62086.64103952507
123,32529.68258255293,5007.444709947354,62462.872707499635
124,32317.222041472516,4855.017862506851,62827.76009602055
125,32112.57420900043,4705.885495358687,63181.5402956408
126,31915.468696066095,4560.077932154843,63524.45337177898
127,31725.6426567119,4417.615743780737,63856.74159950728
128,31542.84077572092,4278.510471401671,64178.64875287733
129,31366.815230630018,4142.765322436208,64490.419446933694
130,31197.325631360123,4010.375838197529,64792.29853044227
131,31034.138940411125,3881.3305323198133,65084.53052726899
132,30877.02937630142,3755.611499418494,65367.35912428001
133,30725.778302681683,3633.1949937238387,65641.0267035944
134,30580.174105318845,3514.051977679879,65905.77391700119
135,30440.012058929344,3398.1486407182247,66161.83930035235
136,30305.09418563994,3285.4468886017958,66409.45892575818
137,30175.229106669187,3175.90480388992,66648.86608944081
138,30050.23188865237,3069.4770782063356,66880.29103314121
139,29929.923885876633,2966.1154170980944,67103.96069702519
140,29814.132579550205,2865.768918358685,67320.09850209103
141,29702.691415099576,2768.3844247552056,67528.92416014514
142,29595.439638369993,2673.906852149339,67730.65350948059
143,29492.222131497263,2582.279494037184,67925.49837446547
144,29392.889249121577,2493.4443035555546,68113.66644732279
145,29297.296655526232,2407.342154013875,68295.36119045981
146,29205.305163204954,2323.913079012768,68470.7817577822
147,29116.78057329039,2243.0964932042953,68640.12293350523
148,29031.59351821242,2164.831394735801,68803.5750870517
149,28949.6193068978,2089.0565504005285,68961.32414270159
150,28870.73777277164,2015.7106644946887,69113.55156273358
151,28794.833124775676,1944.7325323532853,69260.43434287095
152,28721.793801577885,1876.061179506581,69402.14501891544
153,28651.512329112218,1809.6359873662946,69538.8516835214
154,28583.885181555404,1745.3968063160569,69670.71801212845
155,28518.81264582,1683.284057044869,69797.90329713504
156,28456.198689618177,1623.2388209257329,69920.562489456
157,28395.95083312934,1565.202920204678,70038.8462466659
158,28337.9800242858,1509.1189887284197,70152.9009869857
159,28282.200517674493,1454.9305339021196,70262.8689484233
160,28228.52975703861,1402.5819905324531,70368.88825242885
161,28176.88826135082,1352.0187671755793,70471.09297147351
162,28127.19951441943,1303.1872855748518,70569.61320000562
163,28079.389857979964,1256.0350137393139,70664.57512828063
164,28033.388388217263,1210.5104931812975,70756.10111860135
165,27989.126855656934,1166.5633607998743,70844.3097835431
166,27946.53956835996,1124.1443658665376,70929.31606577341
167,27905.56329835008,1083.2053825403775,71011.23131910944
168,27866.1371912003,1043.6994183121544,71090.16339048745
169,27828.202678702368,1005.5806187501071,71166.21670254743
170,27791.703394541135,968.8042688950355,71239.49233656374
171,27756.585092894496,933.3267916281709,71310.08811547724
172,27722.795569878723,899.105743312565,71378.09868680862
173,27690.28458775871,866.0998069871761,71443.61560525402
174,27659.00380184266,834.2687833724644,71506.72741478478
175,27628.906689981057,803.5735799271044,71567.51973009174
176,27599.948484590434,773.9761981773361,71626.07531723213
177,27572.08610712328,745.4397195234724,71682.47417335314
178,27545.278104906494,717.9282897121124,71736.79360538129
179,27519.484590272074,691.4071021476342,71789.10830758019
180,27494.66718190503,665.8423802025238,71839.49043789234
181,27470.788948335066,641.2013586729752,71888.00969299185
182,27447.81435350009,617.4522645139482,71934.73338198586
183,27425.709204311366,594.564296976436,71979.7264987121
184,27404.440600151724,572.5076072590365,72023.05179258915
185,27383.97688424004,551.2532777760036,72064.76983798387
186,27364.287596797043,530.7733011347266,72104.93910206815
187,27345.343429949164,511.0405589070153,72143.61601114373
188,27327.116184309103,492.0288002706172,72180.8550154202
189,27309.578727173466,473.7126205900195,72216.70865223643
190,27292.704952279677,456.06743999876386,72251.22760772148
191,27276.469741066165,439.06948203918853,72284.46077689457
192,27260.848925381524,422.6957524096795,72316.45532220873
193,27245.81925159015,406.9240178641295,72347.25673054565
194,27231.3583460235,391.73278530334034,72376.90886867308
195,27217.444681727815,377.10128109353735,72405.45403717857
196,27204.057546460834,363.00943064295967,72432.93302289613
197,27191.17701189153,349.43783826363324,72459.38514984476
198,27178.783903958574,336.3677673418906,72484.84832869946
199,27166.859774344663,323.7811208379583,72509.3591048173
200,27155.38687302543,311.6604221319655,72532.95270484252
